       Mass(Msol)       Age (Myr)
      0.25193512      0.13000000
       1.1195044      0.13000000
       2.0204657      0.13000000
       9.8160916      0.13000000
       1.7351161      0.13000000
       1.9990615      0.13000000
       6.7938883      0.13000000
       5.1326204      0.13000000
       2.3282631      0.13000000
       3.7723059      0.13000000
       3.1350283      0.13000000
       1.3811606      0.13000000
      0.45828743      0.13000000
       1.7475353      0.13000000
       1.8973339      0.13000000
       8.5932300      0.13000000
       7.8105313      0.13000000
       3.5850976      0.13000000
       3.0068435      0.13000000
       1.1483271      0.13000000
      0.93773449      0.13000000
      0.56414369      0.13000000
       1.2630415      0.13000000
       3.6543728      0.13000000
       10.083799      0.13000000
       1.3746466      0.13000000
       1.2744286      0.13000000
      0.68834444      0.13000000
      0.22140324      0.13000000
       1.8415375      0.13000000
       1.5571878      0.13000000
       2.0456044      0.13000000
       2.3584031      0.13000000
      0.48069804      0.13000000
       4.2184918      0.13000000
       2.2802788      0.13000000
       2.5054731      0.13000000
      0.23281289      0.13000000
       4.5877408      0.13000000
      0.84148460      0.13000000
       3.2357852      0.13000000
       3.7390935      0.13000000
      0.95519488      0.13000000
      0.52236495      0.13000000
       1.7708764      0.13000000
       1.1771103      0.13000000
      0.99478726      0.13000000
       1.7625947      0.13000000
       3.7214245      0.13000000
       1.0631184      0.13000000
       3.5997127      0.13000000
       1.3675962      0.13000000
       1.4300077      0.13000000
       7.1361134      0.13000000
       2.3681493      0.13000000
       1.0098940      0.13000000
       7.9375426      0.13000000
       1.7661729      0.13000000
       6.2795767      0.13000000
       1.8183448      0.13000000
      0.57274428      0.13000000
      0.63245236      0.13000000
       1.1261685      0.13000000
      0.35745882      0.13000000
       4.5564023      0.13000000
       9.9630199      0.13000000
      0.62451249      0.13000000
      0.51328314      0.14000000
       2.8180211      0.14000000
       1.6896523      0.14000000
       1.3792358      0.14000000
       8.5803704      0.14000000
       2.7575265      0.14000000
       7.6418049      0.14000000
       2.3505489      0.14000000
       2.7623761      0.14000000
       7.0475375      0.14000000
      0.94566982      0.14000000
      0.94069366      0.14000000
       9.7877736      0.14000000
       2.1590283      0.14000000
       1.9216540      0.14000000
       1.3342287      0.14000000
      0.96617300      0.14000000
      0.51047864      0.14000000
       2.9619840      0.14000000
      0.26774397      0.14000000
      0.89246618      0.14000000
       1.6333090      0.14000000
       2.1871710      0.14000000
       4.2312204      0.14000000
       1.7241856      0.14000000
      0.21891781      0.14000000
      0.77525788      0.14000000
       1.8594857      0.14000000
       4.0928397      0.14000000
      0.95849635      0.14000000
       2.5066122      0.14000000
       5.1368624      0.14000000
      0.80517893      0.14000000
       3.2511216      0.14000000
      0.54810938      0.14000000
       1.9222198      0.14000000
       8.1214567      0.14000000
       1.9566906      0.14000000
       3.7252692      0.14000000
       1.7828773      0.14000000
      0.66478821      0.14000000
       5.0390797      0.14000000
       6.2876474      0.14000000
       2.8862334      0.14000000
       3.4433708      0.14000000
       7.2387624      0.14000000
       5.6177614      0.14000000
      0.68790407      0.14000000
       1.3353377      0.14000000
      0.93609592      0.14000000
       6.7410865      0.14000000
       2.3801128      0.14000000
       8.4714437      0.14000000
       1.3822495      0.14000000
       2.9002080      0.14000000
       1.6526605      0.14000000
      0.32680205      0.14000000
      0.64871259      0.14000000
       2.0999155      0.14000000
       4.6852478      0.14000000
      0.73810025      0.14000000
       2.3828897      0.14000000
      0.74529121      0.14000000
       1.6680589      0.14000000
       5.4247822      0.14000000
      0.42001471      0.14000000
       1.8571387      0.14000000
       1.1861109      0.14000000
      0.46129153      0.14000000
       6.3999583      0.14000000
       2.0987020      0.14000000
      0.38529482      0.14000000
       3.3256395      0.14000000
       1.1510664      0.14000000
       1.0774310      0.14000000
      0.66603276      0.14000000
       4.8200748      0.14000000
       3.0655026      0.14000000
      0.59807175      0.14000000
      0.98685675      0.14000000
       5.0594305      0.14000000
       1.8943867      0.14000000
       1.8668678      0.14000000
       4.6057288      0.14000000
       1.1299257      0.14000000
      0.15484029      0.14000000
      0.18942848      0.14000000
      0.17557836      0.14000000
       3.0108974      0.14000000
       2.5017171      0.14000000
       4.1383627      0.14000000
       3.0403152      0.14000000
       3.4389808      0.14000000
       2.9385020      0.14000000
       1.0388066      0.14000000
       3.1974354      0.14000000
       5.2333984      0.14000000
       2.7414119      0.14000000
      0.49114887      0.14000000
      0.64184658      0.14000000
       8.1436995      0.14000000
       2.4502532      0.14000000
       1.6856147      0.14000000
       1.9653720      0.14000000
      0.51311300      0.14000000
      0.90746463      0.14000000
      0.25672514      0.14000000
       5.7824699      0.14000000
       2.1525384      0.14000000
       2.2391873      0.14000000
       2.7633016      0.14000000
       1.4987481      0.14000000
       1.5655217      0.14000000
      0.18520787      0.14000000
      0.84150627      0.14000000
       1.6661734      0.14000000
       2.3599978      0.14000000
      0.73617703      0.14000000
       1.2345427      0.14000000
       4.2847534      0.14000000
      0.24901404      0.14000000
       1.1425481      0.14000000
      0.90714324      0.14000000
      0.67044718      0.14000000
       6.4217439      0.14000000
       3.0548517      0.14000000
      0.31328815      0.14000000
       1.1168588      0.14000000
      0.32656827      0.14000000
       3.5891814      0.14000000
       5.5920702      0.14000000
       1.2299467      0.14000000
       1.7898914      0.14000000
      0.67932223      0.14000000
      0.68973242      0.14000000
      0.21372248      0.14000000
       1.1161443      0.14000000
       2.3087850      0.14000000
       1.6636543      0.14000000
       4.5496168      0.14000000
       2.0301956      0.14000000
      0.86978244      0.14000000
       1.5972180      0.14000000
       2.8903213      0.14000000
      0.45928171      0.14000000
      0.39516665      0.14000000
       5.2777517      0.14000000
      0.38549525      0.14000000
      0.61914977      0.14000000
       5.2139910      0.14000000
      0.96527576      0.14000000
       3.4948704      0.14000000
       2.2651313      0.14000000
       1.9287350      0.14000000
       1.2265476      0.14000000
       5.4800085      0.14000000
       1.6833968      0.14000000
       1.3512085      0.14000000
       3.3163756      0.14000000
      0.37782782      0.14000000
      0.30877939      0.14000000
